post_id,before,after,kept,removed,reason,result
286,speek + ネイティブキャンプ,ネイティブキャンプ,ネイティブキャンプ,speek,「反応が返るか」の3問判定。相手が人であることが条件,✅
287,QQ English + ネイティブキャンプ,ネイティブキャンプ,ネイティブキャンプ,QQ English,詰まりの回収を数える。回数無制限が前提と噛み合う,✅
288,スパトレ,スパトレ,スパトレ,（なし）,スパトレの評判を扱う個別サービス記事。もともと1本,変更なし
289,ネイティブキャンプ留学 + 留学情報館,（CTAなし）,（なし）,ネイティブキャンプ留学 + 留学情報館,30代の移住が遅いかを締切の有無で考える共感・入口記事,✅
292,スパトレ + スタディサプリ 新日常英会話,（CTAなし）,（なし）,スパトレ + スタディサプリ 新日常英会話,独学が3日で止まる人向けの共感・入口記事。教材を買う前に確認する3つ、が結論,✅
294,ネイティブキャンプ留学 + 留学情報館,留学情報館,留学情報館,ネイティブキャンプ留学,決め方を決めてから相談に行く,✅
297,DMM英会話 + ネイティブキャンプ,ネイティブキャンプ,ネイティブキャンプ,DMM英会話,脱落地点が予約なら、予約不要の形が1対1で対応する。DMM英会話は同じオンライン英会話で役割が重なる,✅
301,ネイティブキャンプ留学 + 留学情報館,（CTAなし）,（なし）,ネイティブキャンプ留学 + 留学情報館,エージェントに勧められたときの言い回し集。紹介料の偏りに備える記事の末尾に、エージェントのCTAを置かない,✅
304,speek + スパトレ,speek + スパトレ,speek + スパトレ,（なし）,確認3の録音が発音矯正、確認4の「使う場面」が会話量,✅
305,ネイティブキャンプ留学 + フィリピン留学ナビ,ネイティブキャンプ留学,ネイティブキャンプ留学,フィリピン留学ナビ,ワーホリの渡航初日を想定した準備,✅
310,speek + スパトレ,speek + スパトレ,speek + スパトレ,（なし）,「発音そのものを見てもらう」と「人とやりとりする回数を増やす」をH3で分けて説明している,変更なし
315,スパトレ + フィリピン留学ナビ,スパトレ + フィリピン留学ナビ,スパトレ + フィリピン留学ナビ,（なし）,帰国後に続ける形と、現地の学校選び,✅
521,speek + スパトレ,speek + スパトレ,speek + スパトレ,（なし）,確認3が発音の直し方、締めが話す練習。扱う範囲が違う,✅
526,ネイティブキャンプ留学 + フィリピン留学ナビ,フィリピン留学ナビ,フィリピン留学ナビ,ネイティブキャンプ留学,行き先ごとの時間と費用を埋めるには学校の情報が要る,✅
546,ネイティブキャンプ,ネイティブキャンプ,ネイティブキャンプ,（なし）,話し始めるまでの手数。もともと1本,変更なし
