no,candidate_id,title,theme,asset_type,predicted_score
22,2375b5f1-3d99-4547-9c22-1e82de04d9cb,テーマ選定で収益が10倍変わった実験――ガジェットとAI仕事術で同じ努力をした結果,テーマ選定,実践記録,92
23,e5a047f2-8287-4a0a-af22-4fd7629c5af4,アフィリエイト案件を5軸で採点するフレームワーク――case_score・CEF・account_fit・creator_fit・phase_scoreの使い方,案件評価,フレームワーク/法則,91
24,f7427d81-575b-4fda-949d-6b685d4b90cf,AIアウトプット品質を決める『入力解像度フレームワーク』――一次情報を構造化して渡す5ステップ,AI活用,フレームワーク/法則,91
25,00bac752-964d-4fa8-8a34-ec6a6ee52421,資産型メディアのKPIは seed_hit_rate だった――PVとCVを捨てた瞬間に見えたもの,システム設計,フレームワーク/法則,91
26,feef8f98-f127-4261-825a-72dc23e189b8,コンテンツ設計で『どの種を積むと次の種が生まれるか』を考えるようになった実験の全記録,コンテンツ設計,実践記録,91
27,172ab010-bdbf-4d6d-8756-f1bbb0e6f6f8,フォロワー1万人でCV0件とフォロワー500人でCV10件が同時に存在した話,SNS運用,実践記録,91
28,087ccc86-5540-42f9-9bbc-a12e7e1ca95d,フォロワー1000人で売れる人とフォロワー1万人で売れない人の違い――導線の有無だった,SNS運用,体験談,91
29,2efc39ee-1110-4f23-83ae-62022e1ce3ee,単発記事より連続する世界観が購読率を上げた――noteシリーズ化の実験と設計の記録,note運営,実践記録,91
30,520a83c9-4b88-4547-87b9-9a2747041d6a,同じ努力量で市場を変えたら収益が10倍になった実験――副業の本質は市場選びだった,副業,実践記録,91
31,c3a10ac8-786b-49e0-96b4-93b898410b34,コンテンツ販売は変化を売る仕事だった――情報量を増やし続けた俺が設計に切り替えた実験,コンテンツ販売,実践記録,91
32,092e6996-9645-47b5-b99c-ae962a9561b5,案件を評価するのをやめて、テーマを評価し始めた日に俺のシステム設計が変わった,テーマ選定,体験談,91
33,5d2eec27-ea86-4a0c-bd00-8c6f59d1c24a,account_fitだけで案件を選んでいた俺が、creator_fitを導入して最初にやったこと,案件評価,ノウハウ/How-to,90
34,d5c2f993-748c-428e-9643-b1c2919d5c16,Claude Codeでエージェントを作る前に、俺がやっておけばよかった唯一の準備,AI活用,ノウハウ/How-to,90
35,7ae314da-803f-4299-8519-1092e8d31ada,AIシステムで『仮説をデータとして扱う』設計ミスを防ぐ――Affiliate Research Engineの設計変更から学んだこと,システム設計,ノウハウ/How-to,90
36,64c6f19e-eed7-4b91-891c-15d48f72a90e,PVもCVも伸びていた週に、俺はそのKPIを全部捨てた,システム設計,体験談,90
37,5171b0f4-a966-4309-b664-1a66cee5eda6,コンテンツを種で評価する方法――seed_hit_rateとCandidate Engineの具体的な使い方,コンテンツ設計,ノウハウ/How-to,90
38,76681ce8-5478-4bf1-b532-f1d7b83c32b4,SNSフォーマット固定の効果を実験した記録――毎日投稿 vs 週3固定型の比較データ,SNS運用,実践記録,90
39,3793df63-3434-4249-ae1d-074ad4b814b2,読者は学びより体験を求めていた――SNS運用で『続きを見たくなる』投稿に全部切り替えた実験,SNS運用,実践記録,90
40,60d602bb-98d5-4c3e-ba06-57960d38a20e,noteで記事を1本丁寧に書いていた俺が、シリーズ設計に全部切り替えるまで,note運営,体験談,90
41,f873919b-b061-465e-9518-1d59de33adf6,noteのSEO流入とSNS流入でCV率が10倍違った実験――俺が使った計測と設計の手順,note運営,ノウハウ/How-to,90
42,208dab84-3e81-41f7-b4de-0f2a7ae8f14f,情報量が少なくても設計が良い方が高値で売れた――副業コンテンツ設計の実験記録,副業,実践記録,90
43,8d76dfdf-b439-4f4c-859a-dd42c52f5f33,副業で市場を選ぶフレームワーク――努力量ではなく参入市場で収益が10倍変わる設計,副業,フレームワーク/法則,90
44,41e35d9c-fe65-4c80-ae7c-ac147bca080d,会社を変えても同じ不満が出てきた――転職3回で気づいた自己理解ゲームの構造,キャリア,体験談,90
45,85385dad-6c80-4eb8-9f89-37b76f78d885,情報量が少ない方が高値で売れた――コンテンツ密度より変化の明確さが価値を決めた実験,コンテンツ販売,実践記録,90
46,26fcf727-4f5a-4181-946d-8ab850b96417,theme_valueで収益テーマを評価するフレームワーク――asset × size × 収益化効率の計算手順,テーマ選定,フレームワーク/法則,90
47,67811704-585d-46f8-bae3-1015e963a7d3,ガジェット（レビューで終わり）とAI仕事術（講座→コンサル→コミュニティ）の収益差が10倍だった実験,案件評価,実践記録,89
48,46d04ae0-c3b0-4e23-8f19-9f634a5c1058,今週の数字より来週の候補数が増えているかを見ろ――資産型メディア運用の指標設計,システム設計,フレームワーク/法則,89
49,536ef6d6-3337-4ad7-a653-9ca2b3b3c938,SNSで収益につなげる導線設計フレームワーク――フォロワー数を捨ててから見えた設計の5要素,SNS運用,フレームワーク/法則,89
50,1896d725-ea15-4ce9-984a-63ca618f03c4,noteマガジンで評価するべき指標と、記事単体PVを捨てた理由,note運営,フレームワーク/法則,89
51,0fbd23b6-c412-4c84-acb9-7a3e52efdf85,副業で集客より先に作ることに時間をかけた俺が、順序を逆にしてから変わったこと,副業,体験談,89
52,2537067c-d441-4a3f-86ac-75e2097af593,年収が高い環境より成長曲線が急な環境を選んだ3年後――俺が体験した選択の結果,キャリア,体験談,89
53,047b44a2-7033-4814-966e-b345d47e703a,転職は良い会社を選ぶゲームじゃなかった――自己理解が先だったと気づくまでの失敗記録,転職,実践記録,89
54,d1e1564d-ee2c-4e22-addb-f3394b9c1e23,読者がどう変わるかを先に設計してからコンテンツを作る手順――変化設計テンプレートの使い方,コンテンツ販売,ノウハウ/How-to,89
55,cad715cc-482d-4646-a7c1-34c274f942db,コンテンツ販売で価値を決める変化設計フレームワーク――情報量から脱却するための3軸,コンテンツ販売,フレームワーク/法則,89
56,c6f87be0-a0b3-4c7a-bc48-ade62d75de1a,テーマ選定で収益が10倍変わる理由と、収益化効率が高いテーマを見つける具体的手順,テーマ選定,ノウハウ/How-to,89
57,e27010e1-d8d5-4b08-97e3-d68d857fd45c,phase_scoreを評価軸に加えた瞬間、13案件の順位が全部入れ替わった,案件評価,体験談,88
58,4277e85c-f760-49da-8949-b783bb88cfa4,AIツール比較の前に確認すべきこと――Claude Codeで実務システムを作った俺が見た3つの落とし穴,AI活用,フレームワーク/法則,88
59,906ee376-74a4-4c0b-9e6e-77850dbc1085,Affiliate Research Engineの学習ループ設計――expected_seeds vs actual_seedsで何を測るか,システム設計,ノウハウ/How-to,88
60,ff8068bf-3c85-4dde-b792-14c164f6b3b9,SNSフォーマット固定で反応を安定させる手順――俺が実験で使ったテンプレート設計の全工程,SNS運用,ノウハウ/How-to,88
61,0b1d8166-f5a8-46ef-a60d-2c9b7d156adf,テーマを広げるより1つのテーマを掘り続けた方がフォロワーと購読率が両方上がった実験,note運営,実践記録,88
62,7b62c672-0125-4611-aa87-4dfc32fe0bd5,副業で稼ぐ前に選ぶべき市場の見つけ方――3つの実験から導いた参入市場評価の手順,副業,ノウハウ/How-to,88
63,8a5b4dfa-2df8-4b51-9958-bceb06bc5f4f,ノウハウ量を2倍にしても売れなかった。変化設計に切り替えた日に俺のコンテンツが動いた,コンテンツ販売,体験談,88
64,c520f5af-be72-444a-aae0-709f448dda9c,creator_fitが低い案件を捨てるべき3つの判断基準――13案件実験から導いた選定ルール,案件評価,ノウハウ/How-to,87
65,840a32b4-883e-494b-9bbd-499679a20f2c,AIエージェント設計で俺が捨てた発想と、残した発想――5000行の実装を経て変わった思考の記録,AI活用,実践記録,87
66,9c9ae077-761d-49dd-9bcb-df559d7591f2,noteで続きが気になるシリーズを設計する手順――俺が使った世界観連鎖の5ステップ,note運営,ノウハウ/How-to,87
67,ac3c2c11-0591-45f8-98c7-5b9246f543a1,転職で条件を比較するより先にやるべきこと――自己理解から始める転職設計の手順,転職,ノウハウ/How-to,87
68,bf07ce15-54d0-4426-b2da-7bad79ca4bbb,転職で3年後の選択肢を最大化するフレームワーク――年収より成長曲線で選ぶ理由と方法,転職,フレームワーク/法則,87
