post_id,title,hub_child,cluster,kind,programs,cta_count,payout_sum,revenue_tier,inbound,outbound
149,カナダ ワーホリの費用は3つの箱で出す｜まとめ記事に載らない項目,子記事,費用,費用・条件,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,5,4
150,英語の勉強が続かないなら、空いた日から戻る手順を先に決める,子記事,学習法,共感・入口,スパトレ / スタディサプリ 新日常英会話,2,2771,収益・小,2,2
151,「英語コーチングは意味ない」を、自分の条件へ翻訳する4つの問い,子記事,コーチング,共感・入口,スパトレ / speek,2,8500,収益・中,1,2
207,留学の不安は、調べて消える・試して縮む・残るの3つに分ける,子記事,留学判断,共感・入口,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,1,2
232,大人の発音は直らないのか｜年齢の前に確認する2つのこと,子記事,発音,共感・入口,speek,1,7000,収益・中,2,4
235,セブ島留学1ヶ月の比較表に、帰国後の列を6本足す,子記事,学校選び,比較・選び方,ネイティブキャンプ留学 / フィリピン留学ナビ,2,14000,収益・大,1,2
238,ワーホリに間に合うかを調べる前に、分けておきたい2つの締切,子記事,留学判断,判断基準・勉強法,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,1,2
241,独学をやめずに、反応が返る2つの工程だけを外に出す,子記事,コーチング,判断基準・勉強法,speek / スパトレ,2,8500,収益・中,2,2
272,フィリピン留学の費用を社会人が計算する方法｜表に載らない2つの箱,子記事,費用,費用・条件,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,7,4
273,オンライン英会話で自分が話した秒数を、録音して測る,子記事,英会話,判断基準・勉強法,QQ English / ネイティブキャンプ,2,3600,収益・小,5,2
277,国内留学・英語合宿を申し込む前に｜帰宅後30日の枠を先に決める,子記事,学校選び,比較・選び方,スパトレ,1,1500,収益・小,1,3
278,英語コーチングに払う前に確認する3つのこと｜卒業後に何が残るか,ハブ,コーチング,判断基準・勉強法,スパトレ,1,1500,収益・小,5,6
281,留学の効果が帰国後に消えるのは、落ちやすい能力が決まっているから,子記事,学校選び,判断基準・勉強法,DMM英会話 / speek,2,9769,収益・中,2,2
282,TOEIC400点台でワーホリに行く前に、点数の外側で確認する3つのこと,子記事,TOEIC,判断基準・勉強法,スパトレ,1,1500,収益・小,4,4
283,セブ島留学に初心者で行く前に｜事前学習が続かないときに見るところ,子記事,学校選び,判断基準・勉強法,スパトレ / フィリピン留学ナビ,2,5500,収益・中,2,4
286,英語のやり直しは「反応が返るか」で3問だけ判定して決める,子記事,学習法,判断基準・勉強法,speek / ネイティブキャンプ,2,8100,収益・中,2,3
287,英会話を毎日受ける意味は、出席ではなく回収の数で決まる,子記事,英会話,判断基準・勉強法,QQ English / ネイティブキャンプ,2,3600,収益・小,2,2
288,スパトレの評判より先に｜予習不要のサービスを選ぶ前に確認したい3つのこと,子記事,英会話,個別サービス,スパトレ,1,1500,収益・小,4,4
289,30代の海外移住が遅いかは、年齢ではなく締切の有無で決まる,ハブ,留学判断,共感・入口,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,4,4
292,英語の独学が3日で止まる人が、教材を買う前に確認する3つのこと,子記事,学習法,共感・入口,スパトレ / スタディサプリ 新日常英会話,2,2771,収益・小,1,3
294,留学の比較が終わらないときに、決め方のほうを先に決める手順,子記事,留学判断,比較・選び方,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,4,2
297,オンライン英会話が続かない人は、4つの脱落地点のどこで止まるか,子記事,英会話,共感・入口,DMM英会話 / ネイティブキャンプ,2,3869,収益・小,1,2
301,無料の留学エージェントに勧められたとき、その場で使う言い回し集,子記事,エージェント,判断基準・勉強法,ネイティブキャンプ留学 / 留学情報館,2,14000,収益・大,1,2
304,TOEIC 600点で止まっているとき、勉強法を変える前に確認する4つのこと,ハブ,TOEIC,判断基準・勉強法,speek / スパトレ,2,8500,収益・中,6,4
305,ワーホリに要る英語は、点数ではなく渡航初日の5場面で測る,子記事,留学判断,判断基準・勉強法,ネイティブキャンプ留学 / フィリピン留学ナビ,2,14000,収益・大,3,2
310,無料・低価格の英語アプリで足りる人と、足りない人の分かれ目,子記事,学習法,比較・選び方,speek / スパトレ,2,8500,収益・中,4,4
315,セブ島留学の学校を選ぶ4つの確認項目｜コマ数より復習の余白,ハブ,学校選び,比較・選び方,スパトレ / フィリピン留学ナビ,2,5500,収益・中,6,6
521,TOEICリスニングが止まっているとき、聞き流しを続ける前に確認する3つのこと,子記事,TOEIC,判断基準・勉強法,speek / スパトレ,2,8500,収益・中,3,4
526,「現地が一番早い」を費用と時間で確かめる｜1時間あたりで並べる,子記事,費用,比較・選び方,ネイティブキャンプ留学 / フィリピン留学ナビ,2,14000,収益・大,3,4
546,オンライン英会話が続かないのは、話し始めるまでの手数が多いから,ハブ,英会話,共感・入口,ネイティブキャンプ,1,1100,収益・小,7,3
