program_name,asp,category,est_reward,conversion,approval_difficulty,self_back,sakura_fit,apply_status,source_url,note,found_at
スタディサプリENGLISH TOEICパーソナルコーチ,A8/afb/アクセストレード/バリューコマース,TOEIC,同ジャンル上位[推測],有料or体験申込,low-mid,likely,5,candidate,https://media-analytics.jp/affisearch/categories/toeic,TOEICスコア=見える成果で営業事務ペルソナ最適,2026-08-01
プログリット,A8/afb[推測],コーチング,約10000-30000円[推測],無料カウンセリング,high,unknown,5,candidate,https://www.useful-notes.com/affiliate/progrit/,高単価の本命・新規薄サイトは却下リスク大→記事充実後に再申請,2026-08-01
トライズ,A8/afb[推測],コーチング,1万円超クラス[推測],無料カウンセリング,high,unknown,4,candidate,https://media-analytics.jp/affisearch/categories/online-eikaiwa,1年本気コーチング・承認ハードル高・記事資産を作ってから,2026-08-01
ラストリゾート,A8/もしも[推測],ワーホリ,unknown,無料相談/来店予約,mid,unknown,4,candidate,https://ceburyugaku.jp/158664/,全国拠点・手数料無料のワーホリ定番・年齢締切ストーリー合致,2026-08-01
アルク,バリューコマース/リンクシェア,教材,教材%(過去最大4200円級)[確認過去],教材購入,low-mid,likely,3,candidate,https://www.linkshare.ne.jp/campaign/ls_up/2016/04/alc0408.html,老舗教材・物販型で成約は重いが承認は通りやすい傾向,2026-08-01
コーチバディ（スピークバディ英語コーチング）,unknown[要確認],コーチング,unknown,無料カウンセリング,mid,unknown,5,candidate,https://speakbuddy-personalcoaching.com/,旧名スピークバディパーソナルコーチング・12週間で日本人コーチ伴走・ASP掲載は要確認[推測],2026-08-02
スピークバディ（AI英会話アプリ）,unknown[要確認],英会話,unknown,無料体験/アプリ登録,low-mid,unknown,4,candidate,https://prtimes.jp/main/html/rd/p/000000099.000017082.html,AI相手で話す恐怖が低い・アプリ系は承認緩め[推測]・A8却下のスピーク(speak.com)とは別会社,2026-08-02
ELSA Speak,unknown[要確認],教材,unknown,無料版→有料登録,unknown,unknown,4,candidate,https://media.elsaspeak.com/IgMuTr1r/lBLmcWDB,AI発音矯正アプリ・発音記事でspeekと併記候補・提携可否は要確認,2026-08-02
英会話特化ASP（english-school-info）,専業ASP,英会話,unknown,ASP登録,low,unknown,4,candidate,https://lp.english-school-info.com/,英会話ジャンル限定ASP・初期費用無料・ニッチASPは新規サイトでも通りやすい傾向[推測],2026-08-02
NativeCamp（オンライン英会話）,A8,英会話,1100円[確認],無料レッスン体験,low,no(本人NG),5,approved,https://www.a8.net/,EPC14.87 確定率83.45%【期限】2026年7-8月に新規提携すると初成果が5000円扱い(+3900円),2026-08-02
StudyIn,A8,留学,資料請求3000円/説明会参加5000円[確認],新規資料請求or無料説明会参加,mid,no,5,applied_2026-08-02,https://www.a8.net/,EPC12.73 確定率95.16% 手数料0円・留学前の無料英会話つき,2026-08-02
Boost Coaching,A8,コーチング,10000円[確認],新規無料カウンセリング,mid,no,5,applied_2026-08-02,https://www.a8.net/,EPC148.14(今回最高) 確定率33.33% QQ運営・スピーキング特化=speek記事と同トピック,2026-08-02
TEPPEN ENGLISH,A8,コーチング,10000円[確認],新規無料カウンセリング参加,mid,no,4,applied_2026-08-02,https://www.a8.net/,スクールウィズ運営・完全没入型コーチング,2026-08-02
mimitore,A8,pronunciation,2500円[確認],新規無料相談会参加,low,no,4,applied_2026-08-02,https://www.a8.net/,確定率100% 産経運営・リスニング/発音特化コーチング,2026-08-02
スタサプ 新日常英会話コース,A8,英会話,1271円[確認],新規申込,low,yes(セルフバック可),4,approved,https://www.a8.net/,確定率100%,2026-08-02
スタサプ ビジネス英語コース,A8,英会話,1589円[確認],初回申込,low,yes(本人OK/セルフバック可),4,applied_2026-08-02,https://www.a8.net/,確定率100%,2026-08-02
スタサプ 新日常英語コース 英会話セットプラン,A8,英会話,1295円[確認],新規初回会員登録,low,yes(セルフバック可),3,approved,https://www.a8.net/,確定率100%,2026-08-02
スタサプ ビジネス英語コース 英会話セットプラン,A8,英会話,1569円[確認],新規初回会員登録,low,yes(セルフバック可),3,applied_2026-08-02,https://www.a8.net/,確定率100%,2026-08-02
