grade,post_id,media_id,uploaded,group,url,reason,title
A,315,473,2026-08-03,旧テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/Generated-image-1-21.png,週間コマ表。内容が一目で分かる,セブ島留学の学校を選ぶ4つの確認項目｜コマ数より復習の余白
A,521,523,2026-08-05,旧テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/Generated-image-1-24.png,電車の座席。場面が具体的,TOEICリスニングが止まっているとき、聞き流しを続ける前に確認する3つのこと
A,526,527,2026-08-05,旧テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/Generated-image-1-31.png,費用メモと電卓。計算の記事だと分かる,「現地が一番早い」を費用と時間で確かめる｜1時間あたりで並べる
B,27,570,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-27.png,左右分割は構造と噛み合うが、暗→明の演出が成果の暗示になる,英語に何時間かかるかは、自分の用途を絞ってから計算する
B,40,578,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-40.png,同上。線画アイコンのみで単調,無料の留学エージェントに相談する前に｜手数料の仕組みと聞く3つの質問
B,42,577,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-42.png,図として明快だが人物も場面も無く、手触りが出ない,仕事の英語で詰まるなら、1000時間より先に「使う十数文」を数える
B,67,571,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-67.png,同上,フィリピン留学を申し込む前に、帰国後4週間の予定を埋める
B,149,566,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-149.png,同上,カナダ ワーホリの費用は3つの箱で出す｜まとめ記事に載らない項目
B,150,565,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-150.png,同上,英語の勉強が続かないなら、空いた日から戻る手順を先に決める
B,232,563,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-232.png,同上,大人の発音は直らないのか｜年齢の前に確認する2つのこと
B,272,559,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/philippines-study-abroad-adult-costs.png,同上,フィリピン留学の費用を社会人が計算する方法｜表に載らない2つの箱
B,282,467,2026-08-03,旧テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/Generated-image-1-15.png,同上。架空のスコア証明3枚,TOEIC400点台でワーホリに行く前に、点数の外側で確認する3つのこと
B,304,308,2026-08-01,旧テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/Generated-image-1-5.png,画風はA相当だが、架空のTOEIC公式スコアレポートが写っている,TOEIC 600点で止まっているとき、勉強法を変える前に確認する4つのこと
C,18,575,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-18.png,線画アイコンのみ。単調で識別しにくい,留学エージェントの比較が終わらないなら、出発月を先に置く
C,19,574,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-19.png,同上,英語の独学が実らないのは、入力・出力・矯正のどれかが0だから
C,23,26,2026-06-07,旧テイスト,https://sakura-eigo.com/wp-content/uploads/2026/06/74b9063a-dc86-40e6-b53c-87d44d0498df.png,実写風バナー。トーンが別物で文字が主役,ワーホリの貯金はいくら必要か｜200万を自分の数字に組み替える
C,28,582,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-28.png,タイトルをそのまま置いた文字入りバナー,英会話が上達しない8つの理由は、1本の鎖として並べ直す
C,32,576,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/toeic-500-200.png,折れ線の谷に架空スコア『515』が3回。捏造にあたる,TOEIC500点から上げる勉強法｜最初に確認したい4つのこと
C,33,581,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-33.png,同上,仕事の英語の電話は、職務の10場面を頻度順に並べて上位3つを固める
C,37,580,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-37.png,同上,半年の留学にいくらかかるか｜休職と退職を金額で比べる手順
C,41,579,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-41.png,ちびキャラの before→after。成果の暗示になる,英会話が続かないなら、体力が枯れた日の最低ラインを先に決める
C,61,573,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-61.png,同上,英語のやる気が出ないのは、他人に握られた締切が0本だから
C,64,572,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-64.png,同上,英語コーチングを契約する前に、卒業後に残るものを聞く12の質問
C,117,569,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-117.png,ちびキャラ＋固定小物。他と見分けがつかない,英語をゼロから始めるとき、今日やった分に明日の出番を1つ付ける
C,131,568,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-131.png,同上,ワーホリの貯金額より先に決めたい、収入が始まるまでの月数
C,136,142,2026-06-23,旧テイスト,https://sakura-eigo.com/wp-content/uploads/2026/06/5B2FD5E5-F69F-4168-9EE5-57AEC7FE48C0.png,ちびキャラ。子ども向けに見える,「英語できなくても移住できる」は、入口を越えたあとの話
C,137,145,2026-06-23,旧テイスト,https://sakura-eigo.com/wp-content/uploads/2026/06/0317970F-D4B0-4882-ACBB-8B0A728E0184.png,ちびキャラ。加えて『3ヶ月で変わった』の成果表現,英語コーチングの体験談は、到達点の写真かその後の傾きかで読み分ける
C,138,144,2026-06-23,旧テイスト,https://sakura-eigo.com/wp-content/uploads/2026/06/84AB9726-A105-48FF-B776-4B5818008CFC.png,ちびキャラ,英語コーチングの費用は、総額ではなく残った月数で割って見る
C,151,567,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-151.png,同上,「英語コーチングは意味ない」を、自分の条件へ翻訳する4つの問い
C,207,564,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-207.png,同上,留学の不安は、調べて消える・試して縮む・残るの3つに分ける
C,235,562,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-235.png,同上,セブ島留学1ヶ月の比較表に、帰国後の列を6本足す
C,238,561,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-238.png,同上,ワーホリに間に合うかを調べる前に、分けておきたい2つの締切
C,241,560,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/second-language-acquisition-theory-gap.png,同上,独学をやめずに、反応が返る2つの工程だけを外に出す
C,277,558,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/domestic-immersion-english-continuous-learning.png,同上,国内留学・英語合宿を申し込む前に｜帰宅後30日の枠を先に決める
C,278,557,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/english-coaching-after-graduation.png,同上,英語コーチングに払う前に確認する3つのこと｜卒業後に何が残るか
C,287,556,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/english-conversation-daily-effectiveness.png,同上,英会話を毎日受ける意味は、出席ではなく回収の数で決まる
C,294,555,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/study-abroad-decision-deadline.png,同上,留学の比較が終わらないときに、決め方のほうを先に決める手順
C,301,553,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/free-study-abroad-agent-bias.png,同上,無料の留学エージェントに勧められたとき、その場で使う言い回し集
C,546,552,2026-08-07,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/online-english-lessons-90-days-success.png,文字と数字が焼き込まれている（90日達成）,オンライン英会話が続かないのは、話し始めるまでの手数が多いから
C,647,990,2026-08-09,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-647-20260809.png,今回こちらで作った文字カード型（メディア990・8/9）,カランメソッドを試す前に確認したい3つのこと｜即答できるかで決まる
C,993,992,2026-08-09,新テイスト,https://sakura-eigo.com/wp-content/uploads/2026/08/eyecatch-chatgpt-english-learning-steps.png,同上（メディア992・8/9）,ChatGPTで英語学習を始める手順｜社会人が最初に試す3つの使い方
