post_id,section,claim,class,source,note
521,確認1,設問を見ずに内容を1文で言えるかを試す,recommendation,,確認手順
521,確認1,意味が遅れる場合、日本語に訳してから理解している可能性がある,editorial_inference,,「可能性がある」
521,確認1,Part3とPart4は音声の前に設問と選択肢に目を通すと何を待てばいいかが決まる,editorial_inference,,形式上の帰結。効果は保証していない
521,確認2,学習アプリが自動で数えるのは再生時間で意味を追えた時間ではない,editorial_inference,,一般的なアプリ仕様の説明
521,確認2,流し終わったあとに内容を1文で言えるかを試す,recommendation,,確認手順
521,確認3,シャドーイングは自分の声が正しいかを自分で判定する部分が残る,editorial_inference,,構造の指摘。「固まる」という結果の断定は削除した
521,確認3,どこがどう違うかを言葉にできるかを確かめる,recommendation,,確認手順
521,確認3,speekの公式情報,official_fact,https://speek.jp/ 2026-08-08,
521,話す練習,聞く練習と話す練習を別々のものとして扱わない、という考え方,recommendation,,「効果を保証するものではない」と本文に明記
521,2週間,必要な時間は人によって違うので決まった分数は示さない,recommendation,,「平日90分」は削除
521,2週間,夜が崩れても残る時間帯を1つ選び、その枠が続いているかだけを見る,recommendation,,確認手順
32,リード,方法を選ぶ前に確認したい4つ,recommendation,,
32,確認1,TOEICの成績票には項目別の正答率が印刷されている,official_fact,TOEIC公式の成績表仕様,⚠️要確認。公式ページで裏を取ってから公開する
32,確認1,1か所に固まっているなら絞った対策から始められる。散っているなら基礎の量が足りていない段階かもしれない,recommendation,,「かもしれない」
32,確認2,つまずきを1文で言えるなら市販の教材で組める段階にいる,recommendation,,提案
32,確認2,分解はできたが次の手順が組めない状態のときに独学以外の選択肢を検討する意味が出てくる,recommendation,,提案。数値条件は書いていない
32,確認3,問題集の詰まる箇所が入れ替わっているかを見る,recommendation,,確認手順
32,確認3,独学を1ヶ月しか試していない段階ならまず市販の教材で回すほうが順番として自然だと考えている,recommendation,,「と考えている」と明示
32,確認3,伴走してもらう形は走る本人の代わりに走ってくれるものではない,editorial_inference,,サービス類型の説明
32,確認3,机に向かう時間が生活の中で取れるかを契約の前に確かめる,recommendation,,「1日20分未満」の数値条件は削除
32,確認4,文字で見れば分かるのに音になると分からない語があるかを確かめる,recommendation,,確認手順
32,確認4,speekの公式情報,official_fact,https://speek.jp/ 2026-08-08,
32,無料期間,無料期間は自分が続けられる頻度を見るために使う,recommendation,,提案
32,無料期間,スパトレの公式情報,official_fact,https://sptr.jp/ 2026-08-08,
