post_id,kind,claim,url,sentence,match,page_value,note,checked_at
149,金額,0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円を掲げる留学エージェントで、無料カウンセリングの窓口がある（ 留学情報館 公式 ・2026年8月8日時点）。紹介できる学校は提携校の範囲になるので、その前提で聞く。,一致,0円,,2026-08-09 11:57:15 JST
149,手数料,手数料0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円を掲げる留学エージェントで、無料カウンセリングの窓口がある（ 留学情報館 公式 ・2026年8月8日時点）。紹介できる学校は提携校の範囲になるので、その前提で聞く。,一致,手数料0円,,2026-08-09 11:57:15 JST
150,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる設計になっていて、7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。,一致,7日間,,2026-08-09 11:57:15 JST
150,プラン名,リENGLISHの新日常英会話コース,https://eigosapuri.jp/,公式情報 ：スタディサプリENGLISHの新日常英会話コースには初回の無料体験があり、無料期間中はいつでもキャンセルできると案内されている（ スタディサプリENGLISH公式サイト ・2026年8月9日時点）。,一致,新日常英会話コース,抜き出しが語の途中から始まっていた。末尾で一致,2026-08-09 11:57:15 JST
151,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる設計になっていて、7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。,一致,7日間,,2026-08-09 11:57:15 JST
151,仕様,完全オンライン,https://speek.jp/,公式情報 ：speekは、上智大学の北原真冬教授が監修する音声学ベースの発音矯正スクールで、講師は言語系の学位保持者のみ、完全オンラインで対応している（ speek公式サイト ・2026年8月8日時点）。,一致,完全オンライン,,2026-08-09 11:57:15 JST
18,金額,0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学では、渡航前のオンライン英会話が無料で、手数料は0円と案内されている（ ネイティブキャンプ留学公式サイト ・2026年8月8日時点）。,一致,0円,,2026-08-09 11:57:15 JST
18,金額,0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,0円,,2026-08-09 11:57:15 JST
18,手数料,手数料0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,手数料0円,,2026-08-09 11:57:15 JST
19,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる設計になっていて、7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。,一致,7日間,,2026-08-09 11:57:15 JST
19,プラン名,リENGLISHの新日常英会話コース,https://eigosapuri.jp/,公式情報 ：スタディサプリENGLISHの新日常英会話コースには初回の無料体験があり、無料期間中はいつでもキャンセルできると案内されている（ スタディサプリENGLISH公式サイト ・2026年8月9日時点）。,一致,新日常英会話コース,抜き出しが語の途中から始まっていた。末尾で一致,2026-08-09 11:57:15 JST
207,金額,0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学では、渡航前のオンライン英会話が無料で、手数料は0円と案内されている（ ネイティブキャンプ留学公式サイト ・2026年8月8日時点）。,一致,0円,,2026-08-09 11:57:15 JST
207,金額,0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,0円,,2026-08-09 11:57:15 JST
207,手数料,手数料0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,手数料0円,,2026-08-09 11:57:15 JST
23,金額,0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学は、仲介手数料0円・最低価格保証を掲げていて、渡航前のオンライン英会話が無料で使える（ ネイティブキャンプ留学 公式 ・2026年8月8日時点）。,一致,0円,,2026-08-09 11:57:15 JST
23,手数料,手数料0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学は、仲介手数料0円・最低価格保証を掲げていて、渡航前のオンライン英会話が無料で使える（ ネイティブキャンプ留学 公式 ・2026年8月8日時点）。,一致,手数料0円,,2026-08-09 11:57:15 JST
23,金額,0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円を掲げる留学エージェントで、無料カウンセリングの窓口がある（ 留学情報館 公式 ・2026年8月8日時点）。紹介できる学校は提携校の範囲になる。,一致,0円,,2026-08-09 11:57:15 JST
23,手数料,手数料0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円を掲げる留学エージェントで、無料カウンセリングの窓口がある（ 留学情報館 公式 ・2026年8月8日時点）。紹介できる学校は提携校の範囲になる。,一致,手数料0円,,2026-08-09 11:57:15 JST
232,仕様,完全オンライン,https://speek.jp/,公式情報 ：speekは、上智大学の北原真冬教授が監修する音声学ベースの発音矯正スクール。講師は言語系の学位保持者のみで、完全オンラインで対応している（ speek公式サイト ・2026年8月8日時点）。,一致,完全オンライン,,2026-08-09 11:57:15 JST
235,金額,0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学では、渡航前のオンライン英会話が無料で、手数料は0円と案内されている（ ネイティブキャンプ留学公式サイト ・2026年8月8日時点）。,一致,0円,,2026-08-09 11:57:15 JST
238,年齢,30歳,https://www.gov.uk/youth-mobility/eligibility,公式情報 ：英国政府の案内では、 日本は18〜30歳の対象国 として掲載されている。年齢は、 ビザ開始時に18歳以上、申請時に30歳以下 であることが条件で、 ビザ開始時には30歳を超えていてもよい 。抽選が必要な対象として掲載されているのは、香港SAR旅券保持者と台湾（ GOV.UK Youth Mobility Scheme visa: Eligibility ・2026年8月9日確認）。,一致,30orunder,引用元が英語。年齢の表記が一致,2026-08-09 11:57:15 JST
238,年齢,18歳,https://www.gov.uk/youth-mobility/eligibility,公式情報 ：英国政府の案内では、 日本は18〜30歳の対象国 として掲載されている。年齢は、 ビザ開始時に18歳以上、申請時に30歳以下 であることが条件で、 ビザ開始時には30歳を超えていてもよい 。抽選が必要な対象として掲載されているのは、香港SAR旅券保持者と台湾（ GOV.UK Youth Mobility Scheme visa: Eligibility ・2026年8月9日確認）。,一致,aged18to,引用元が英語。年齢の表記が一致,2026-08-09 11:57:15 JST
238,金額,0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学では、渡航前のオンライン英会話が無料で、手数料は0円と案内されている（ ネイティブキャンプ留学公式サイト ・2026年8月8日時点）。,一致,0円,,2026-08-09 11:57:15 JST
238,金額,0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,0円,,2026-08-09 11:57:15 JST
238,手数料,手数料0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,手数料0円,,2026-08-09 11:57:15 JST
241,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる設計になっていて、7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。,一致,7日間,,2026-08-09 11:57:15 JST
241,仕様,完全オンライン,https://speek.jp/,公式情報 ：speekは、上智大学の北原真冬教授が監修する音声学ベースの発音矯正スクールで、講師は言語系の学位保持者のみ、完全オンラインで対応している（ speek公式サイト ・2026年8月8日時点）。,一致,完全オンライン,,2026-08-09 11:57:15 JST
27,金額,0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学では、渡航前のオンライン英会話が無料で、手数料は0円と案内されている（ ネイティブキャンプ留学公式サイト ・2026年8月8日時点）。,一致,0円,,2026-08-09 11:57:15 JST
27,金額,0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,0円,,2026-08-09 11:57:15 JST
27,手数料,手数料0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,手数料0円,,2026-08-09 11:57:15 JST
272,金額,0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学は、仲介手数料0円・最低価格保証を掲げていて、渡航前のオンライン英会話が無料で使える（ ネイティブキャンプ留学 公式 ・2026年8月8日時点）。費用の見積もりを無料で出してもらえるので、②の実費を自分の条件で埋められる。,一致,0円,,2026-08-09 11:57:15 JST
272,手数料,手数料0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学は、仲介手数料0円・最低価格保証を掲げていて、渡航前のオンライン英会話が無料で使える（ ネイティブキャンプ留学 公式 ・2026年8月8日時点）。費用の見積もりを無料で出してもらえるので、②の実費を自分の条件で埋められる。,一致,手数料0円,,2026-08-09 11:57:15 JST
272,金額,0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円を掲げる留学エージェントで、無料カウンセリングの窓口がある（ 留学情報館 公式 ・2026年8月8日時点）。紹介できる学校は提携校の範囲になるので、その前提で聞く。,一致,0円,,2026-08-09 11:57:15 JST
272,手数料,手数料0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円を掲げる留学エージェントで、無料カウンセリングの窓口がある（ 留学情報館 公式 ・2026年8月8日時点）。紹介できる学校は提携校の範囲になるので、その前提で聞く。,一致,手数料0円,,2026-08-09 11:57:15 JST
273,無料期間,7日間,https://nativecamp.net,公式情報 ：ネイティブキャンプは予約なしでレッスンを受けられ、レッスン回数は無制限、7日間の無料体験があると案内されている（ ネイティブキャンプ公式サイト ・2026年8月8日時点）。,一致,7日間,,2026-08-09 11:57:15 JST
273,仕様,無制限,https://nativecamp.net,公式情報 ：ネイティブキャンプは予約なしでレッスンを受けられ、レッスン回数は無制限、7日間の無料体験があると案内されている（ ネイティブキャンプ公式サイト ・2026年8月8日時点）。,一致,無制限,,2026-08-09 11:57:15 JST
273,体験回数,2回,https://www.qqeng.com/,公式情報 ：QQ Englishは「カランメソッド正式認定校」と明記していて、体験レッスンは2回受けられると案内されている（ QQ English公式サイト ・2026年8月9日時点）。,一致,2回,,2026-08-09 11:57:15 JST
273,認定,正式認定校,https://www.qqeng.com/,公式情報 ：QQ Englishは「カランメソッド正式認定校」と明記していて、体験レッスンは2回受けられると案内されている（ QQ English公式サイト ・2026年8月9日時点）。,一致,正式認定校,,2026-08-09 11:57:15 JST
277,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる形になっている。7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。レッスンの前に自習をする設計なので、その時間を置けない人には向かない。,一致,7日間,,2026-08-09 11:57:15 JST
278,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる形になっている。7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。レッスンの前に自習をする設計なので、その時間を置けない人には向かない。,一致,7日間,,2026-08-09 11:57:15 JST
28,無料期間,7日間,https://nativecamp.net,公式情報 ：ネイティブキャンプは予約なしでレッスンを受けられ、レッスン回数は無制限、7日間の無料体験があると案内されている（ ネイティブキャンプ公式サイト ・2026年8月8日時点）。,一致,7日間,,2026-08-09 11:57:15 JST
28,仕様,無制限,https://nativecamp.net,公式情報 ：ネイティブキャンプは予約なしでレッスンを受けられ、レッスン回数は無制限、7日間の無料体験があると案内されている（ ネイティブキャンプ公式サイト ・2026年8月8日時点）。,一致,無制限,,2026-08-09 11:57:15 JST
28,体験回数,2回,https://www.qqeng.com/,公式情報 ：QQ Englishは「カランメソッド正式認定校」と明記していて、体験レッスンは2回受けられると案内されている（ QQ English公式サイト ・2026年8月9日時点）。,一致,2回,,2026-08-09 11:57:15 JST
28,認定,正式認定校,https://www.qqeng.com/,公式情報 ：QQ Englishは「カランメソッド正式認定校」と明記していて、体験レッスンは2回受けられると案内されている（ QQ English公式サイト ・2026年8月9日時点）。,一致,正式認定校,,2026-08-09 11:57:15 JST
281,仕様,完全オンライン,https://speek.jp/,公式情報 ：speekは、上智大学の北原真冬教授が監修する音声学ベースの発音矯正スクールで、講師は言語系の学位保持者のみ、完全オンラインで対応している（ speek公式サイト ・2026年8月8日時点）。,一致,完全オンライン,,2026-08-09 11:57:15 JST
282,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる形になっている。7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。レッスンの前に自習をする設計なので、その時間を置けない人には向かない。,一致,7日間,,2026-08-09 11:57:15 JST
283,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる形になっている。7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。 レッスンの前に自習をする設計 なので、その時間を置けない人には向かない。,一致,7日間,,2026-08-09 11:57:15 JST
286,仕様,完全オンライン,https://speek.jp/,公式情報 ：speekは、上智大学の北原真冬教授が監修する音声学ベースの発音矯正スクールで、講師は言語系の学位保持者のみ、完全オンラインで対応している（ speek公式サイト ・2026年8月8日時点）。,一致,完全オンライン,,2026-08-09 11:57:15 JST
286,無料期間,7日間,https://nativecamp.net,公式情報 ：ネイティブキャンプは予約なしでレッスンを受けられ、レッスン回数は無制限、7日間の無料体験があると案内されている（ ネイティブキャンプ公式サイト ・2026年8月8日時点）。,一致,7日間,,2026-08-09 11:57:15 JST
286,仕様,無制限,https://nativecamp.net,公式情報 ：ネイティブキャンプは予約なしでレッスンを受けられ、レッスン回数は無制限、7日間の無料体験があると案内されている（ ネイティブキャンプ公式サイト ・2026年8月8日時点）。,一致,無制限,,2026-08-09 11:57:15 JST
287,無料期間,7日間,https://nativecamp.net,公式情報 ：ネイティブキャンプは予約なしでレッスンを受けられ、レッスン回数は無制限、7日間の無料体験があると案内されている（ ネイティブキャンプ公式サイト ・2026年8月8日時点）。,一致,7日間,,2026-08-09 11:57:15 JST
287,仕様,無制限,https://nativecamp.net,公式情報 ：ネイティブキャンプは予約なしでレッスンを受けられ、レッスン回数は無制限、7日間の無料体験があると案内されている（ ネイティブキャンプ公式サイト ・2026年8月8日時点）。,一致,無制限,,2026-08-09 11:57:15 JST
287,体験回数,2回,https://www.qqeng.com/,公式情報 ：QQ Englishは「カランメソッド正式認定校」と明記していて、体験レッスンは2回受けられると案内されている（ QQ English公式サイト ・2026年8月9日時点）。,一致,2回,,2026-08-09 11:57:15 JST
287,認定,正式認定校,https://www.qqeng.com/,公式情報 ：QQ Englishは「カランメソッド正式認定校」と明記していて、体験レッスンは2回受けられると案内されている（ QQ English公式サイト ・2026年8月9日時点）。,一致,正式認定校,,2026-08-09 11:57:15 JST
288,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる形になっている。7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。 レッスンの前に自習をする設計 なので、その時間を置けない人には向かない。,一致,7日間,,2026-08-09 11:57:15 JST
289,年齢,30歳,https://www.gov.uk/youth-mobility/eligibility,公式情報 ：実例を1つ挙げる。英国政府の案内では、イギリスの Youth Mobility Scheme visa について 日本は18〜30歳の対象国 として掲載されている。年齢は ビザ開始時に18歳以上、申請時に30歳以下 で、ビザ開始時には30歳を超えていてもよい。抽選が必要な対象として掲載されているのは香港SAR旅券保持者と台湾（ GOV.UK Youth Mobility Scheme ,一致,30orunder,引用元が英語。年齢の表記が一致,2026-08-09 11:57:15 JST
289,年齢,18歳,https://www.gov.uk/youth-mobility/eligibility,公式情報 ：実例を1つ挙げる。英国政府の案内では、イギリスの Youth Mobility Scheme visa について 日本は18〜30歳の対象国 として掲載されている。年齢は ビザ開始時に18歳以上、申請時に30歳以下 で、ビザ開始時には30歳を超えていてもよい。抽選が必要な対象として掲載されているのは香港SAR旅券保持者と台湾（ GOV.UK Youth Mobility Scheme ,一致,aged18to,引用元が英語。年齢の表記が一致,2026-08-09 11:57:15 JST
289,金額,0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学では、渡航前のオンライン英会話が無料で、手数料は0円と案内されている（ ネイティブキャンプ留学公式サイト ・2026年8月8日時点）。,一致,0円,,2026-08-09 11:57:15 JST
289,金額,0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,0円,,2026-08-09 11:57:15 JST
289,手数料,手数料0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,手数料0円,,2026-08-09 11:57:15 JST
292,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる設計になっていて、7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。,一致,7日間,,2026-08-09 11:57:15 JST
292,プラン名,リENGLISHの新日常英会話コース,https://eigosapuri.jp/,公式情報 ：スタディサプリENGLISHの新日常英会話コースには初回の無料体験があり、無料期間中はいつでもキャンセルできると案内されている（ スタディサプリENGLISH公式サイト ・2026年8月9日時点）。,一致,新日常英会話コース,抜き出しが語の途中から始まっていた。末尾で一致,2026-08-09 11:57:15 JST
294,金額,0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,0円,,2026-08-09 11:57:15 JST
294,手数料,手数料0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,手数料0円,,2026-08-09 11:57:15 JST
294,金額,0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学では、渡航前のオンライン英会話が無料で、手数料は0円と案内されている（ ネイティブキャンプ留学公式サイト ・2026年8月8日時点）。,一致,0円,,2026-08-09 11:57:15 JST
297,無料期間,7日間,https://nativecamp.net,公式情報 ：ネイティブキャンプは予約なしでレッスンを受けられ、レッスン回数は無制限、7日間の無料体験があると案内されている（ ネイティブキャンプ公式サイト ・2026年8月8日時点）。,一致,7日間,,2026-08-09 11:57:15 JST
297,仕様,無制限,https://nativecamp.net,公式情報 ：ネイティブキャンプは予約なしでレッスンを受けられ、レッスン回数は無制限、7日間の無料体験があると案内されている（ ネイティブキャンプ公式サイト ・2026年8月8日時点）。,一致,無制限,,2026-08-09 11:57:15 JST
301,金額,0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学では、渡航前のオンライン英会話が無料で、手数料は0円と案内されている（ ネイティブキャンプ留学公式サイト ・2026年8月8日時点）。,一致,0円,,2026-08-09 11:57:15 JST
301,金額,0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,0円,,2026-08-09 11:57:15 JST
301,手数料,手数料0円,https://www.ryugaku-johokan.com/index_mr.php,公式情報 ：留学情報館は手数料0円で、カウンセリングはオンラインと対面のどちらも無料と案内されている（ 留学情報館公式サイト ・2026年8月9日時点）。,一致,手数料0円,,2026-08-09 11:57:15 JST
304,仕様,完全オンライン,https://speek.jp/,公式情報 ：speekは、上智大学の北原真冬教授が監修する音声学ベースの発音矯正スクール。講師は言語系の学位保持者のみで、完全オンラインで対応している（ speek公式サイト ・2026年8月8日時点）。,一致,完全オンライン,,2026-08-09 11:57:15 JST
304,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる形になっている。7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。レッスンの前に自習をする設計なので、その時間を置けない人には向かない。,一致,7日間,,2026-08-09 11:57:15 JST
305,金額,0円,https://nativecamp.net/study_abroad/counseling-reserve,公式情報 ：ネイティブキャンプ留学では、渡航前のオンライン英会話が無料で、手数料は0円と案内されている（ ネイティブキャンプ留学公式サイト ・2026年8月8日時点）。,一致,0円,,2026-08-09 11:57:15 JST
310,仕様,完全オンライン,https://speek.jp/,公式情報 ：speekは、上智大学の北原真冬教授が監修する音声学ベースの発音矯正スクールで、講師は言語系の学位保持者のみ、完全オンラインで対応している（ speek公式サイト ・2026年8月8日時点）。アプリの自動判定とは、扱っている範囲が違う。どちらが良いかではなく、いま要るのがどちらかで選ぶ。,一致,完全オンライン,,2026-08-09 11:57:15 JST
310,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる形になっていて、7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。講師とのやりとりが軸なので、返事が来る回数を自分で数えられる。,一致,7日間,,2026-08-09 11:57:15 JST
315,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる形になっている。7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。レッスンの前に自習をする設計なので、その時間を置けない人には向かない。,一致,7日間,,2026-08-09 11:57:15 JST
32,仕様,完全オンライン,https://speek.jp/,公式情報 ：speekは、上智大学の北原真冬教授が監修する音声学ベースの発音矯正スクール。講師は言語系の学位保持者のみで、完全オンラインで対応している（ speek公式サイト ・2026年8月8日時点）。,一致,完全オンライン,,2026-08-09 11:57:15 JST
32,無料期間,7日間,https://sptr.jp/,公式情報 ：スパトレは第二言語習得論に基づく学習方法で、自習とレッスンを組み合わせる形になっている。7日間の無料期間がある（ スパトレ公式サイト ・2026年8月8日時点）。レッスンの前に自習をする設計なので、その時間を置けない人には向かない。,一致,7日間,,2026-08-09 11:57:15 JST
