post_id,title,status,cta,programs,blockers,categories
286,英語のやり直しは「反応が返るか」で3問だけ判定して決める,publish,1,ネイティブキャンプ,0,6
287,英会話を毎日受ける意味は、出席ではなく回収の数で決まる,publish,1,ネイティブキャンプ,0,6
288,スパトレの評判より先に｜予習不要のサービスを選ぶ前に確認したい3つのこと,publish,1,スパトレ,0,4
289,30代の海外移住が遅いかは、年齢ではなく締切の有無で決まる,publish,0,（なし）,0,6
292,英語の独学が3日で止まる人が、教材を買う前に確認する3つのこと,publish,0,（なし）,0,4
294,留学の比較が終わらないときに、決め方のほうを先に決める手順,publish,1,留学情報館,0,6
297,オンライン英会話が続かない人は、4つの脱落地点のどこで止まるか,publish,1,ネイティブキャンプ,0,6
301,無料の留学エージェントに勧められたとき、その場で使う言い回し集,publish,0,（なし）,0,6
304,TOEIC 600点で止まっているとき、勉強法を変える前に確認する4つのこと,publish,2,speek + スパトレ,0,10
305,ワーホリに要る英語は、点数ではなく渡航初日の5場面で測る,publish,1,ネイティブキャンプ留学,0,8
310,無料・低価格の英語アプリで足りる人と、足りない人の分かれ目,publish,2,speek + スパトレ,0,4
315,セブ島留学の学校を選ぶ4つの確認項目｜コマ数より復習の余白,publish,2,スパトレ + フィリピン留学ナビ,0,8
521,TOEICリスニングが止まっているとき、聞き流しを続ける前に確認する3つのこと,publish,2,speek + スパトレ,0,10
526,「現地が一番早い」を費用と時間で確かめる｜1時間あたりで並べる,publish,1,フィリピン留学ナビ,0,8
546,オンライン英会話が続かないのは、話し始めるまでの手数が多いから,publish,1,ネイティブキャンプ,0,7
647,カランメソッドを試す前に確認したい3つのこと｜即答できるかで決まる,publish,1,QQ English,0,4
993,ChatGPTで英語学習を始める手順｜社会人が最初に試す3つの使い方,publish,1,スパトレ,0,11
1003,英語会議の文字起こしツールを選ぶ前に｜確認する5つのこと,future,,,,
1001,AI時代に必要な英語力はどこまでか｜場面から決める,future,,,,
999,AI発音矯正アプリの選び方｜自動判定でできることと、できないこと,future,,,,
997,AI翻訳があるのに英語を学ぶ意味｜場面で分けて考える,future,,,,
995,AI英会話とオンライン英会話の違い｜4つの軸で選ぶ,future,,,,
641,【Threads用】2026-08-08,draft,,,,
640,【Threads用】2026-08-08,draft,,,,
618,【Threads用】2026-08-08,draft,,,,
584,【Threads用】2026-08-07,draft,,,,
583,英語の会議が3割しか聞き取れなかった私が、聞き取れないまま詰まらなくなった3つの準備,draft,,,,
547,【Threads用】2026-08-07,draft,,,,
